Pixel,Response count
1,341
2,235
3,366
4,356
5,283
6,359
7,224
8,298
9,326
10,334
11,319
12,367
13,333
14,310
15,352
16,384
17,313
18,284
19,308
20,302
21,391
22,345
23,421
24,322
25,365
26,400
27,336
28,408
29,400
30,494
31,496
32,482
33,468
34,483
35,481
36,491
37,505
38,553
39,518
40,462
41,485
42,454
43,534
44,371
45,547
46,568
47,544
48,430
49,488
50,478
51,524
52,486
53,506
54,545
55,422
56,460
57,471
58,549
59,471
60,495
61,500
62,459
63,438
64,537
65,483
66,481
67,458
68,409
69,454
70,490
71,475
72,476
73,485
74,422
75,424
76,463
77,465
78,505
79,502
80,366
81,425
82,514
83,466
84,499
85,529
86,495
87,498
88,525
89,488
90,513
91,448
92,446
93,476
94,489
95,502
96,482
97,470
98,563
99,518
100,509
101,381
102,440
103,462
104,500
105,467
106,445
107,418
108,529
109,536
110,442
111,549
112,513
113,499
114,502
115,469
116,504
117,500
118,437
119,441
120,467
121,461
122,543
123,402
124,479
125,411
126,544
127,545
128,484
129,428
130,425
131,386
132,465
133,551
134,519
135,556
136,488
137,451
138,501
139,470
140,514
141,513
142,438
143,439
144,515
145,512
146,518
147,470
148,480
149,504
150,575
151,472
152,484
153,452
154,548
155,515
156,489
157,450
158,477
159,602
160,461
161,527
162,525
163,409
164,467
165,483
166,493
167,473
168,547
169,564
170,472
171,475
172,514
173,511
174,449
175,461
176,490
177,476
178,498
179,492
180,536
181,477
182,512
183,465
184,435
185,515
186,488
187,420
188,464
189,501
190,442
191,482
192,437
193,534
194,469
195,479
196,497
197,432
198,488
199,516
200,396
201,496
202,492
203,459
204,346
205,473
206,453
207,429
208,470
209,468
210,470
211,488
212,472
213,481
214,439
215,544
216,417
217,371
218,480
219,455
220,524
221,439
222,476
223,532
224,530
225,487
226,462
227,462
228,427
229,451
230,443
231,495
232,563
233,486
234,472
235,411
236,490
237,397
238,428
239,486
240,494
241,513
242,525
243,554
244,512
245,368
246,511
247,453
248,510
249,591
250,462
251,488
252,479
253,484
254,479
255,513
256,529
257,441
258,561
259,401
260,447
261,472
262,478
263,480
264,476
265,475
266,494
267,513
268,467
269,422
270,461
271,459
272,450
273,538
274,550
275,541
276,501
277,423
278,501
279,579
280,461
281,517
282,514
283,501
284,400
285,496
286,490
287,525
288,505
289,432
290,557
291,439
292,454
293,363
294,574
295,472
296,514
297,447
